is_day_off,day_off_in_row,day_off_in_future,day,month,year
0,0,0,13,3,13
0,0,0,14,3,13
0,0,0,15,3,13
1,1,2,16,3,13
1,2,1,17,3,13
0,0,0,18,3,13
0,0,0,19,3,13
0,0,0,20,3,13
0,0,0,21,3,13
0,0,0,22,3,13
1,1,2,23,3,13
1,2,1,24,3,13
0,0,0,25,3,13
0,0,0,26,3,13
0,0,0,27,3,13
0,0,0,28,3,13
0,0,0,29,3,13
1,1,2,30,3,13
1,2,1,31,3,13
0,0,0,1,4,13
0,0,0,2,4,13
0,0,0,3,4,13
0,0,0,4,4,13
0,0,0,5,4,13
1,1,2,6,4,13
1,2,1,7,4,13
0,0,0,8,4,13
0,0,0,9,4,13
0,0,0,10,4,13
0,0,0,11,4,13
0,0,0,12,4,13
1,1,2,13,4,13
1,2,1,14,4,13
0,0,0,15,4,13
0,0,0,16,4,13
0,0,0,17,4,13
0,0,0,18,4,13
0,0,0,19,4,13
1,1,2,20,4,13
1,2,1,21,4,13
0,0,0,22,4,13
0,0,0,23,4,13
0,0,0,24,4,13
0,0,0,25,4,13
0,0,0,26,4,13
1,1,2,27,4,13
1,2,1,28,4,13
0,0,0,29,4,13
0,0,0,30,4,13
1,1,1,1,5,13
0,0,0,2,5,13
0,0,0,3,5,13
1,1,2,4,5,13
1,2,1,5,5,13
0,0,0,6,5,13
0,0,0,7,5,13
0,0,0,8,5,13
1,1,4,9,5,13
1,2,3,10,5,13
1,3,2,11,5,13
1,4,1,12,5,13
0,0,0,13,5,13
1,1,1,14,5,13
0,0,0,15,5,13
0,0,0,16,5,13
0,0,0,17,5,13
0,0,0,18,5,13
1,1,1,19,5,13
0,0,0,20,5,13
0,0,0,21,5,13
0,0,0,22,5,13
0,0,0,23,5,13
0,0,0,24,5,13
1,1,2,25,5,13
1,2,1,26,5,13
0,0,0,27,5,13
0,0,0,28,5,13
0,0,0,29,5,13
0,0,0,30,5,13
0,0,0,31,5,13
1,1,2,1,6,13
1,2,1,2,6,13
0,0,0,3,6,13
0,0,0,4,6,13
0,0,0,5,6,13
0,0,0,6,6,13
0,0,0,7,6,13
1,1,2,8,6,13
1,2,1,9,6,13
0,0,0,10,6,13
0,0,0,11,6,13
0,0,0,12,6,13
0,0,0,13,6,13
0,0,0,14,6,13
1,1,2,15,6,13
1,2,1,16,6,13
0,0,0,17,6,13
0,0,0,18,6,13
0,0,0,19,6,13
0,0,0,20,6,13
0,0,0,21,6,13
1,1,2,22,6,13
1,2,1,23,6,13
0,0,0,24,6,13
0,0,0,25,6,13
0,0,0,26,6,13
0,0,0,27,6,13
0,0,0,28,6,13
1,1,2,29,6,13
1,2,1,30,6,13
0,0,0,1,7,13
0,0,0,2,7,13
1,1,1,3,7,13
0,0,0,4,7,13
0,0,0,5,7,13
1,1,2,6,7,13
1,2,1,7,7,13
0,0,0,8,7,13
0,0,0,9,7,13
0,0,0,10,7,13
0,0,0,11,7,13
0,0,0,12,7,13
1,1,2,13,7,13
1,2,1,14,7,13
0,0,0,15,7,13
0,0,0,16,7,13
0,0,0,17,7,13
0,0,0,18,7,13
0,0,0,19,7,13
1,1,2,20,7,13
1,2,1,21,7,13
0,0,0,22,7,13
0,0,0,23,7,13
0,0,0,24,7,13
0,0,0,25,7,13
0,0,0,26,7,13
1,1,2,27,7,13
1,2,1,28,7,13
0,0,0,29,7,13
0,0,0,30,7,13
0,0,0,31,7,13
0,0,0,1,8,13
0,0,0,2,8,13
1,1,2,3,8,13
1,2,1,4,8,13
0,0,0,5,8,13
0,0,0,6,8,13
0,0,0,7,8,13
0,0,0,8,8,13
0,0,0,9,8,13
1,1,2,10,8,13
1,2,1,11,8,13
0,0,0,12,8,13
0,0,0,13,8,13
0,0,0,14,8,13
0,0,0,15,8,13
0,0,0,16,8,13
1,1,2,17,8,13
1,2,1,18,8,13
0,0,0,19,8,13
0,0,0,20,8,13
0,0,0,21,8,13
0,0,0,22,8,13
0,0,0,23,8,13
1,1,2,24,8,13
1,2,1,25,8,13
0,0,0,26,8,13
0,0,0,27,8,13
0,0,0,28,8,13
0,0,0,29,8,13
0,0,0,30,8,13
1,1,2,31,8,13
1,2,1,1,9,13
0,0,0,2,9,13
0,0,0,3,9,13
0,0,0,4,9,13
0,0,0,5,9,13
0,0,0,6,9,13
1,1,2,7,9,13
1,2,1,8,9,13
0,0,0,9,9,13
0,0,0,10,9,13
0,0,0,11,9,13
0,0,0,12,9,13
0,0,0,13,9,13
1,1,2,14,9,13
1,2,1,15,9,13
0,0,0,16,9,13
0,0,0,17,9,13
0,0,0,18,9,13
0,0,0,19,9,13
0,0,0,20,9,13
1,1,2,21,9,13
1,2,1,22,9,13
0,0,0,23,9,13
0,0,0,24,9,13
0,0,0,25,9,13
0,0,0,26,9,13
0,0,0,27,9,13
1,1,2,28,9,13
1,2,1,29,9,13
0,0,0,30,9,13
0,0,0,1,10,13
0,0,0,2,10,13
0,0,0,3,10,13
0,0,0,4,10,13
1,1,2,5,10,13
1,2,1,6,10,13
0,0,0,7,10,13
0,0,0,8,10,13
0,0,0,9,10,13
0,0,0,10,10,13
0,0,0,11,10,13
1,1,2,12,10,13
1,2,1,13,10,13
0,0,0,14,10,13
0,0,0,15,10,13
0,0,0,16,10,13
0,0,0,17,10,13
0,0,0,18,10,13
1,1,2,19,10,13
1,2,1,20,10,13
0,0,0,21,10,13
0,0,0,22,10,13
0,0,0,23,10,13
0,0,0,24,10,13
0,0,0,25,10,13
1,1,2,26,10,13
1,2,1,27,10,13
0,0,0,28,10,13
0,0,0,29,10,13
0,0,0,30,10,13
0,0,0,31,10,13
0,0,0,1,11,13
1,1,2,2,11,13
1,2,1,3,11,13
0,0,0,4,11,13
0,0,0,5,11,13
0,0,0,6,11,13
1,1,1,7,11,13
0,0,0,8,11,13
1,1,2,9,11,13
1,2,1,10,11,13
0,0,0,11,11,13
0,0,0,12,11,13
0,0,0,13,11,13
0,0,0,14,11,13
0,0,0,15,11,13
1,1,2,16,11,13
1,2,1,17,11,13
0,0,0,18,11,13
0,0,0,19,11,13
0,0,0,20,11,13
0,0,0,21,11,13
0,0,0,22,11,13
1,1,2,23,11,13
1,2,1,24,11,13
0,0,0,25,11,13
0,0,0,26,11,13
0,0,0,27,11,13
0,0,0,28,11,13
0,0,0,29,11,13
1,1,2,30,11,13
1,2,1,1,12,13
0,0,0,2,12,13
0,0,0,3,12,13
0,0,0,4,12,13
0,0,0,5,12,13
0,0,0,6,12,13
1,1,2,7,12,13
1,2,1,8,12,13
0,0,0,9,12,13
0,0,0,10,12,13
0,0,0,11,12,13
0,0,0,12,12,13
0,0,0,13,12,13
1,1,2,14,12,13
1,2,1,15,12,13
0,0,0,16,12,13
